LocationName,Coronary heart disease among adults,Current asthma among adults,Depression among adults,Diagnosed diabetes among adults,Fair or poor self-rated health status among adults,Frequent mental distress among adults,High blood pressure among adults,No leisure-time physical activity among adults,Obesity among adults,Stroke among adults,longitude,latitude,temperature,temp_norm,Current asthma among adults_norm,Coronary heart disease among adults_norm,Diagnosed diabetes among adults_norm,Obesity among adults_norm,High blood pressure among adults_norm,Frequent mental distress among adults_norm,No leisure-time physical activity among adults_norm,heat_health_risk
4013040541,7.4,11.0,20.6,12.9,22.1,16.4,35.8,23.9,32.9,4.0,-112.5578347,33.7565722,109.7,0.0,0.4181818181818183,0.4393939393939394,0.5693430656934306,0.5974842767295598,0.4805194805194804,0.5759493670886074,0.4474708171206225,0.4410428455909323
4013061048,5.8,10.1,18.2,11.1,16.9,14.0,32.2,19.1,30.3,3.1,-112.3538833,33.4688752,111.6,1.0,0.25454545454545463,0.3181818181818181,0.437956204379562,0.4339622641509436,0.3870129870129871,0.4240506329113924,0.2607003891050584,0.43955121878590203
4013061050,4.6,10.3,19.0,10.1,17.7,15.8,28.5,20.3,31.9,2.6,-112.4267914,33.4283671,111.5,0.9473684210526343,0.2909090909090912,0.2272727272727272,0.36496350364963503,0.5345911949685535,0.2909090909090909,0.5379746835443038,0.3073929961089494,0.4376727135518732
4013061014,3.9,10.3,19.4,9.3,17.9,17.0,26.1,20.8,32.3,2.3,-112.325033,33.4834525,111.6,1.0,0.2909090909090912,0.17424242424242423,0.3065693430656935,0.559748427672956,0.2285714285714286,0.6139240506329113,0.32684824902723736,0.4376016267652178
4013050616,4.3,10.4,19.5,9.3,18.5,16.6,26.7,21.1,32.1,2.5,-112.6071597,33.4208764,111.5,0.9473684210526343,0.3090909090909093,0.2045454545454545,0.3065693430656935,0.5471698113207549,0.24415584415584413,0.5886075949367089,0.33852140077821014,0.43575359736827624
4013050609,6.4,9.8,17.5,11.1,16.5,13.5,33.3,19.4,29.6,3.3,-112.5356941,33.4524436,111.6,1.0,0.20000000000000026,0.36363636363636365,0.437956204379562,0.3899371069182392,0.4155844155844155,0.3924050632911392,0.27237354085603105,0.43398658683321883
4013061054,7.3,9.8,17.0,11.9,16.1,12.2,36.6,18.6,27.9,3.6,-112.4005312,33.4701401,111.6,1.0,0.20000000000000026,0.4318181818181817,0.49635036496350365,0.28301886792452835,0.5012987012987014,0.31012658227848094,0.24124513618677043,0.43298222930877084
4013061057,4.8,9.8,18.2,10.3,17.3,15.1,29.1,20.6,31.4,2.7,-112.4412605,33.4525456,111.6,1.0,0.20000000000000026,0.24242424242424238,0.3795620437956205,0.5031446540880503,0.3064935064935065,0.49367088607594933,0.3190661478599222,0.43054518509216144
4013040515,10.2,9.8,17.1,15.3,20.3,11.9,44.0,22.7,30.2,5.0,-113.0044501,33.8241902,109.7,0.0,0.20000000000000026,0.6515151515151514,0.7445255474452555,0.42767295597484284,0.6935064935064935,0.2911392405063291,0.4007782101167314,0.4261421998831005
4013061052,4.0,10.4,19.3,9.1,18.0,16.3,25.9,20.0,31.4,2.4,-112.3920848,33.4431709,111.6,1.0,0.3090909090909093,0.1818181818181818,0.291970802919708,0.5031446540880503,0.2233766233766233,0.5696202531645569,0.2957198443579766,0.42184265860200076
4013050621,4.8,10.6,20.3,9.8,19.2,17.1,28.3,21.5,32.9,2.7,-112.7460201,33.5421899,110.8,0.5789473684210522,0.3454545454545455,0.24242424242424238,0.34306569343065696,0.5974842767295598,0.2857142857142857,0.620253164556962,0.35408560311284043,0.4209286474805181
4013050612,3.9,10.1,19.3,8.9,17.5,16.4,25.5,20.2,32.3,2.3,-112.4930588,33.448367,111.6,1.0,0.25454545454545463,0.17424242424242423,0.2773722627737227,0.559748427672956,0.21298701298701297,0.5759493670886074,0.30350194552529175,0.4197933618544337
4013050615,4.3,10.2,18.8,9.2,18.1,16.1,26.5,20.7,31.1,2.5,-112.5727511,33.4266011,111.5,0.9473684210526343,0.2727272727272727,0.2045454545454545,0.2992700729927007,0.48427672955974865,0.23896103896103893,0.5569620253164557,0.3229571984435797,0.4158835266998606
4013040512,14.4,8.9,13.6,16.9,19.0,7.7,54.9,22.5,24.2,6.6,-112.3904639,33.6772529,109.7,0.0,0.036363636363636556,0.9696969696969697,0.8613138686131385,0.05031446540880508,0.9766233766233765,0.025316455696202552,0.3929961089494163,0.4140781101689432
4013010102,9.3,9.7,16.7,13.6,15.3,10.1,43.4,16.6,27.7,4.3,-111.5743081,33.7128794,110.9,0.6315789473684253,0.18181818181818182,0.5833333333333334,0.6204379562043795,0.2704402515723271,0.6779220779220778,0.1772151898734177,0.1634241245136187,0.41327125782572016
4013010103,6.8,10.4,19.4,11.4,16.3,13.6,35.7,18.0,30.0,3.4,-111.7538552,33.7535864,110.9,0.6315789473684253,0.3090909090909093,0.39393939393939387,0.45985401459854014,0.41509433962264164,0.47792207792207797,0.39873417721518983,0.21789883268482488,0.4130140865552504
4013061024,3.9,10.1,19.3,8.9,17.7,16.5,25.2,20.2,32.0,2.3,-112.3997843,33.4137948,111.5,0.9473684210526343,0.25454545454545463,0.17424242424242423,0.2773722627737227,0.5408805031446542,0.20519480519480515,0.5822784810126581,0.30350194552529175,0.41067303718645565
4013060904,4.5,10.5,19.9,11.0,24.6,18.4,27.5,27.2,35.5,2.7,-112.3110112,33.6016684,109.7,0.0,0.3272727272727274,0.21969696969696967,0.4306569343065693,0.7610062893081763,0.2649350649350649,0.7025316455696201,0.5758754863813228,0.4102468896838063
4013050613,4.3,10.0,18.7,9.2,17.7,15.7,26.7,20.5,30.8,2.4,-112.4953171,33.4217311,111.5,0.9473684210526343,0.2363636363636365,0.2045454545454545,0.2992700729927007,0.4654088050314467,0.24415584415584413,0.531645569620253,0.3151750972762645,0.4054916126297793
4013040502,9.3,10.3,18.5,13.6,19.5,13.3,40.5,22.0,29.6,4.6,-112.7494475,33.9760918,109.7,0.0,0.2909090909090912,0.5833333333333334,0.6204379562043795,0.3899371069182392,0.6025974025974026,0.379746835443038,0.37354085603112835,0.40506282267957655
4013040528,14.0,8.9,13.6,16.7,18.5,7.7,54.2,21.8,24.3,6.4,-112.4037208,33.6527184,109.7,0.0,0.036363636363636556,0.9393939393939393,0.8467153284671531,0.0566037735849058,0.9584415584415585,0.025316455696202552,0.3657587548638132,0.4035741808514012
4013061058,4.2,10.0,18.7,9.3,16.8,15.4,26.9,19.3,31.5,2.4,-112.4176024,33.4048935,111.5,0.9473684210526343,0.2363636363636365,0.19696969696969696,0.3065693430656935,0.509433962264151,0.2493506493506493,0.5126582278481013,0.26848249027237353,0.4033995533983671
4013050619,5.8,10.0,18.1,10.5,14.9,12.9,32.4,16.8,29.0,3.0,-112.4843023,33.4947209,111.6,1.0,0.2363636363636365,0.3181818181818181,0.39416058394160586,0.35220125786163536,0.39220779220779217,0.35443037974683544,0.17120622568093385,0.40234396174803216
4013040522,14.0,8.9,13.5,16.5,18.5,7.7,54.3,22.2,24.0,6.4,-112.3771475,33.6874823,109.7,0.0,0.036363636363636556,0.9393939393939393,0.8321167883211679,0.03773584905660387,0.961038961038961,0.025316455696202552,0.3813229571984435,0.40166107338361934
4013040514,13.1,9.2,14.2,16.0,18.5,8.2,52.4,21.9,24.6,6.1,-112.3382757,33.6751948,109.7,0.0,0.09090909090909091,0.8712121212121211,0.7956204379562043,0.07547169811320774,0.9116883116883115,0.05696202531645566,0.3696498054474707,0.39643918633035774
